Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,google_place_id,google_formatted_address,google_lat,google_lng,google_types,match_method,status_website_http,outdated_score,outdated_flag,outdated_reason
Irish,"221 Carlton Street
Toronto, ON M5A 2L2",Stout Irish Pub,(647) 344-7676,$11-30,stoutirishpub.ca,https://www.yelp.ca/biz/stout-irish-pub-toronto,43.663839,-79.368944,ChIJweFwiEXL1IkRwGPlkzWtSXs,"221 Carlton St., Toronto, ON M5A 2L2",43.6637960,-79.3689040,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Irish,"49 Yonge St
Toronto, ON M5E 1J1",Irish Embassy Pub & Grill,(416) 866-8282,$11-30,irishembassypub.com,https://www.yelp.ca/biz/irish-embassy-pub-and-grill-toronto,43.648049,-79.377154,ChIJ3Wc0nC3L1IkRg6bm9Ae8QmU,"49 Yonge St, Toronto, ON M5E 1J1",43.6480282,-79.3772456,"brunch_restaurant,bar_and_grill,fine_dining_restaurant,pub,bar,event_venue,restaurant,food,point_of_interest,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Irish,"1301 Queen Street E
Toronto, ON M4L 1C2",The Ceili Cottage,(416) 406-1301,$11-30,ceilicottage.com,https://www.yelp.ca/biz/the-ceili-cottage-toronto,43.663504,-79.328004,ChIJ1SgFx4TL1IkROXGJuMJf8rY,"1301 Queen St E, Toronto, ON M4L 1C2",43.6635256,-79.3280056,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,dns_error,60,review,Website: dns_error
Irish,"5140 Dundas St W
Toronto, ON M9A 1C2",St James’s Gate Toronto,(647) 350-5140,$11-30,sjgtoronto.ca,https://www.yelp.ca/biz/st-jamess-gate-toronto-toronto,43.643811,-79.533577,ChIJu6hVTaM3K4gRvXf_KPtU_1o,"5140 Dundas St W, Etobicoke, ON M9A 1C2",43.6439152,-79.5336798,"brunch_restaurant,pub,event_venue,bar,restaurant,point_of_interest,food,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Irish,"141 Danforth Ave
Toronto, ON M4K 1N2",Dora Keogh Irish Pub,(416) 778-1804,$11-30,allens.to/dora,https://www.yelp.ca/biz/dora-keogh-irish-pub-toronto,43.676245,-79.357358,ChIJPe6f85_M1IkRR9l9qN1YtgE,"141 Danforth Ave, Toronto, ON M4K 1N2",43.6763629,-79.3573863,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Irish,"156 Front St W
Toronto, ON M5J 2L6",Overdraught Irish Pub,(416) 408-3925,$11-30,theoverdraught.ca,https://www.yelp.ca/biz/overdraught-irish-pub-toronto,43.645282,-79.384304,ChIJC6uKjtM0K4gRfKWiLSyURzU,"156 Front St W, Toronto, ON M5J 2L6",43.6450350,-79.3843432,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,error,30,review,Website: HTTP error
Irish,"143 Danforth Avenue
Toronto, ON M4K 1N2",Allen’s,(416) 463-3086,$11-30,allens.to,https://www.yelp.ca/biz/allens-toronto,43.676421,-79.357316,ChIJiQoE85_M1IkR1da3nEueDHY,"143 Danforth Ave, Toronto, ON M4K 1N2",43.6762720,-79.3572780,"restaurant,pub,bar,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Irish,"489 King Street W
Toronto, ON M5V 1K4",Fynn’s of Temple Bar,(416) 586-1331,$11-30,fynnstemplebar.com,https://www.yelp.ca/biz/fynns-of-temple-bar-toronto,43.644757,-79.397152,ChIJi46ptN40K4gREtcXb7t5GoM,"489 King St W, Toronto, ON M5V 1K4",43.6448546,-79.3971977,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,error,30,review,Website: HTTP error
Irish,"The Sheraton Centre
96 Richmond St W
Toronto, ON M5H 2A3",Quinn’s Steakhouse & Irish Bar,(416) 367-8466,$31-60,quinnssteakhouse.com,https://www.yelp.ca/biz/quinns-steakhouse-and-irish-bar-toronto,43.651089,-79.382919,ChIJa-2hCM00K4gRFl4xp_eVBUs,"96 Richmond St W, Toronto, ON M5H 2A3",43.6510467,-79.3828887,"steak_house,pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Irish,"165 E Liberty Street
Toronto, ON M6K 3P6",Brazen Head Irish Pub,(416) 535-8787,$11-30,brazenhead.ca,https://www.yelp.ca/biz/brazen-head-irish-pub-toronto,43.638544,-79.417144,ChIJLeyIhAM1K4gR5NQrBuiHsMw,"165 E Liberty St, Toronto, ON M6K 3K4",43.6384423,-79.4172366,"pub,bar,restaurant,point_of_interest,food,establishment",ids_only+essentials,ssl_error,60,review,Website: ssl_error
Irish,"803 King Street W
Toronto, ON M5V 1N4",Foggy Dew Irish Pub,(416) 703-4042,$11-30,,https://www.yelp.ca/biz/foggy-dew-irish-pub-toronto,43.642848,-79.407235,ChIJJ0Ns6eE0K4gRnY7qDVaopaE,"803 King St W, Toronto, ON M5V 1N4",43.6427738,-79.4072947,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Irish,"17 Lower Simcoe
Toronto, ON M5V 3L9",Lucky Clover Sports Pub,(647) 348-5825,$11-30,,https://www.yelp.ca/biz/lucky-clover-sports-pub-toronto,43.641248,-79.383234,ChIJ6cS0oNU0K4gR3WEhtSPNv1U,"17 Lower Simcoe St, Toronto, ON M5V 3L9",43.6412561,-79.3832445,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Irish,"171 College Street
Toronto, ON M5T 1P7",O’Grady’s Tap & Grill,(416) 596-0327,$11-30,ogradysoncollege.com,https://www.yelp.ca/biz/o-gradys-tap-and-grill-toronto-2,43.658889,-79.3938,ChIJmb3Imsc0K4gRara_z53F0ao,"171 College St, Toronto, ON M5T 1P7",43.6589783,-79.3938425,"pub,bar,point_of_interest,establishment",ids_only+essentials,dns_error,60,review,Website: dns_error
Italian,"2899 Dufferin Street
Toronto, ON M6B 3S7",Camarra’s Pizzeria & Restaurant,(416) 789-3221,$11-30,camarra.com,https://www.yelp.ca/adredir?ad_business_id=IN8BHY7zkhjUxUh4qnbrHg&campaign_id=XHrOd08FL8oGTwR5453mRQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcamarras-pizzeria-and-restaurant-toronto&request_id=4d75d14b6f009c24&signature=31adffcfe05f4e019571c3bc0fcdd9d0b6a8a118d8b0e8b48a3e90ab3731fe24&slot=0,43.708396,-79.453323,ChIJKTKVTCczK4gRcCsTseJRI7g,"2899 Dufferin St, North York, ON M6B 3S7",43.7083473,-79.4530999,"asian_restaurant,chinese_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,error,30,review,Website: HTTP error
Italian,"101 Portland Street
Toronto, ON M5V 2N3",Gusto 101,(416) 504-9669,$11-30,gusto101.com,https://www.yelp.ca/biz/gusto-101-toronto,43.645002,-79.400309,ChIJm5_QX940K4gRdtM5bxGf3g4,"101 Portland St, Toronto, ON M5V 2N3",43.6451811,-79.4001151,"italian_restaurant,restaurant,point_of_interest,food,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Italian,"1351 St Clair Avenue W
Toronto, ON M6E 1C5",Agio,(647) 348-4814,$11-30,agioristorante.wordpress.com,https://www.yelp.ca/biz/agio-toronto,43.676092,-79.450731,ChIJuYFipw00K4gRl-M0gkPCGCg,"1351 St Clair Ave W, Toronto, ON M6E 1C5",43.6760108,-79.4507319,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Italian,"354 Queen Street W
Toronto, ON M5V 2A5",Stelvio,(416) 205-1001,$11-30,stelviotoronto.ca,https://www.yelp.ca/biz/stelvio-toronto,43.649212,-79.395485,ChIJbSCROTM1K4gRg-SI3IVG52k,"791 Dundas St W, Toronto, ON M6J 1V2",43.6518201,-79.4077955,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Italian,"68 Sudbury Street
Toronto, ON M6J 3S7",Levetto,(647) 350-3933,$11-30,levetto.com,https://www.yelp.ca/biz/levetto-toronto,43.641743,-79.422051,ChIJG1YZpQE1K4gR4Y-Owa47EvU,"68 Sudbury St, Toronto, ON M6J 0B6",43.6415235,-79.4221685,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Italian,"604 King Street W
Toronto, ON M5V 1M6",Buca,(416) 865-1600,$31-60,buca.ca/king.html,https://www.yelp.ca/biz/buca-toronto,43.644512,-79.400362,ChIJt19nWN40K4gR2dyRhKq_zus,"604 King St W, Toronto, ON M5V 2N2",43.6448329,-79.4007353,"italian_restaurant,bar,restaurant,point_of_interest,food,establishment",ids_only+essentials,error,30,review,Website: HTTP error
Italian,"73 King Street E
Toronto, ON M5C 3J6",Carisma,(416) 864-7373,$31-60,carismarestaurant.com,https://www.yelp.ca/biz/carisma-toronto,43.649582,-79.375351,ChIJUWAkGDLL1IkR1k-IbI0kqVM,"15 Toronto St, Toronto, ON M5C 2E3",43.6503233,-79.3759151,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Italian,"591 College Street
Toronto, ON M6G 1B2",Trattoria Taverniti,(416) 537-0078,$11-30,tavernitis.ca,https://www.yelp.ca/biz/trattoria-taverniti-toronto,43.655147,-79.413513,ChIJlenhJO40K4gRC4zQmla2Y64,"591 College St, Toronto, ON M6G 1B2",43.6551958,-79.4135336,"italian_restaurant,bar,restaurant,point_of_interest,food,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Italian,"2029 Yonge St
Toronto, ON M4S 2A2",Balsamico Ristorante,(647) 348-0337,$11-30,balsamico.ca,https://www.yelp.ca/biz/balsamico-ristorante-toronto,43.701546,-79.397012,ChIJvbqsyj4zK4gRKSqmEGeVdcI,"2029 Yonge St, Toronto, ON M4S 2A2",43.7015393,-79.3970373,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,dns_error,60,review,Website: dns_error
Italian,"75 Yorkville Avenue
Toronto, ON M5R 1B8",Trattoria Nervosa,(416) 961-4642,$11-30,eatnervosa.com,https://www.yelp.ca/biz/trattoria-nervosa-toronto,43.67102,-79.391085,ChIJZ0uJg680K4gRFd2fWmuKpQA,"75 Yorkville Ave, Toronto, ON M5R 1B8",43.6710218,-79.3910806,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Italian,"640 College Street
Toronto, ON M5V 2E8",Marinellas Italian Restaurant,(416) 348-9200,$31-60,marinellasrestaurant.com,https://www.yelp.ca/biz/marinellas-italian-restaurant-toronto,43.655076,-79.415464,ChIJN-jHt_E0K4gRMbdqQ2f0muI,"640 College St, Toronto, ON M6G 1B5",43.6550520,-79.4155559,"italian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Italian,"120 Avenue Road
Toronto, ON M5R 2H4",Sotto Sotto Restaurant,(416) 962-0011,$31-60,sottosotto.ca,https://www.yelp.ca/biz/sotto-sotto-restaurant-toronto-2,43.673732,-79.396524,ChIJMXUMGqQ0K4gRkTqV8X38KDA,"120 Avenue Rd, Toronto, ON M5R 2H4",43.6734814,-79.3963052,"italian_restaurant,fine_dining_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,error,30,review,Website: HTTP error
